"Journal","Citations"
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
